product_title,positive_rate
"Foellie] eau de venus- Feminine Inner Beauty Perfume for Underwear Attractive Scents Fragrance, 5ml/0.169 fl.oz",1.0
"Freedom Whole Body Deodorant Wipes for Women with 24-Hour Odor Protection - Aluminum Free Coconut Vanilla Deodorant Wipes Individually Wrapped Ideal for Hospitals, Gym, Camping & Hiking (Pack 1)",1.0
Geir Ness NORSK SNØ Hand & Body Cream - Dry Skin Lotion - Single Use Deep Moisturizer with Essential Oils,0.8
"Geologie Big Sur Natural Deodorant | Eucalyptus Scent for Men & Women | Sensitive Skin Safe | Aluminum-Free, Baking Soda-Free, Dermatologist Tested, Vegan, Sulfate-Free, Paraben-Free | (2.6 oz)",0.6307692307692307
Gloria Vanderbilt for Women - 100ml EDT Spray,0.78
"Gucci Bloom for Women Eau De Parfum Spray, 1.6 Oz",0.8080808080808081
Gucci Guilty for Men 3.0 oz Eau de Parfum Spray,0.86
Gucci Intense Oud by Gucci 3.0 oz Eau de Parfum Spray,0.7407407407407407
"Guerlain Shalimar Eau De Parfum Spray for Women, 3 Ounce",0.78
"HERBIVORE Nova Brightening Serum for Face – 15% Vitamin C + Turmeric to Visibly Improve the Look of Dark Spots and Even Skin Tone, Plant-based, Vegan, Cruelty-free, 30mL /1 oz",0.7384615384615385
"Hair Perfume for Women Vanilla Pheromone, Hair & Body Shine Spray Nourishing and Hydrating Mist Fragrance, Eau Parfum Long Lasting & Add Shine Portable, Light Perfume, 30 ml",0.5609756097560976
"Hair Perfume for Women, Pheromone Perfume Essential Oil for Hair, Premium Pure & Long-Lasting Fresh Scents",0.3333333333333333
"Hair Perfume, Hair Essential Oil Perfume for Women, Pheromone Fragrance for Dry Damaged Hair, Hair Mist with Anti Frizz Nourishing, Premium and Long-lasting Scent",1.0
"Hair Perfume, Pheromone Perfume for Women, Hair & Body Fragrance Essential Oil Odors Remove & Nourishing, Honey Infused Coconut Chamomile Portable Hydrating and Shine Spray, Light Perfume, 1.69 fl.oz",0.625
"Hair Perfume,A Delicate Hair Florals Fragrance with Pro-Vitamin B5 Essence Leave-In Nourishes and Moisturizes Hair Shine Spray (2.5 fl oz, Floral)",0.8350515463917526
"Hawthorne Mens Natural Stain-Free Deodorant, Aluminum-Free Clear Formula to Prevent Body Odor and Absorb Sweat with Witch Hazel, Nettle Leaf, Mint & Eucalyptus Scent, Under Arm Odor Protection, 2.6 oz",0.42857142857142855
"Hermes Eau d'Orange Verte Unisex Eau De Cologne Spray, 6.7 Ounce",0.6056338028169014
"Homecourt Room Deodorant, Natural Room Spray, Fine Fragrance of Apple & Jasmine, For Kitchen, Bathroom & more, Clean Formula, Neroli Leaf, 3.4 oz",0.5
"Homemade Perfume: Create Exquisite, Naturally Scented Products to Fill Your Life with Botanical Aromas",0.8780487804878049
"Honeydak 16 Pcs 8 ml Atomizer Perfume Spray Bottle for Travel Refillable Mini Empty Cologne Dispenser, Portable Sprayer with Independent Storage Bag",0.875
